SN,Date,VCM_M1_FPC_UpCoil_Attach_MC_ID,VCM_Glue_lot_ID_1,VCM_M1_FPC_UpCoil_Attach_Staging_time,VCM_M1_FPC_UpCoil_Attach_End_Time,VCM_Feature_1,VCM_Feature_2,VCM_Feature_3,VCM_Feature_4,VCM_Feature_5,VCM_Feature_6,VCM_Feature_7,VCM_Feature_8,VCM_Feature_9,VCM_Feature_10,VCM_Feature_11,VCM_Feature_12,VCM_Feature_13,VCM_Feature_14,VCM_Feature_15,VCM_Feature_16,VCM_Feature_17,VCM_Feature_18,VCM_Feature_19,VCM_Feature_20,VCM_Feature_21,VCM_Feature_22,VCM_Feature_23,VCM_Feature_24,VCM_Feature_25,VCM_Feature_26,VCM_Feature_27,VCM_Feature_28,VCM_Feature_29,VCM_Feature_30,VCM_Feature_31,VCM_Feature_32,VCM_Feature_33,VCM_Feature_34,VCM_Feature_35,VCM_Feature_36,VCM_Feature_37,VCM_Feature_38,VCM_Feature_39,VCM_Feature_40,VCM_Feature_41,VCM_Feature_42,VCM_Feature_43,VCM_Feature_44,Results,Failed_Station,Failure_Mode,VCM_M1_Constant_Feature
SN000010,2026-05-10 08:23:02,MC_005,LOT_2004,30,2026-05-10 08:34:02,Normal,Medium,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,PASS,,,Standby
SN000011,2026-05-10 08:25:20,MC_005,LOT_2001,10,2026-05-10 08:36:20,Low,Medium,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,PASS,,,Standby
SN000012,2026-05-10 08:27:38,MC_002,LOT_2002,20,2026-05-10 08:34:38,Normal,Medium,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,PASS,,,Standby
SN000013,2026-05-10 08:29:57,MC_003,LOT_2001,20,2026-05-10 08:40:57,Low,Fast,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,PASS,,,Normal
SN000014,2026-05-10 08:32:15,MC_004,LOT_2001,10,2026-05-10 08:44:15,Normal,Medium,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,PASS,,,Locked
SN000015,2026-05-10 08:34:33,MC_004,LOT_2004,10,2026-05-10 08:44:33,Normal,Slow,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,PASS,,,Locked
SN000016,2026-05-10 08:36:51,MC_005,LOT_2003,10,2026-05-10 08:50:51,Low,Medium,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,PASS,,,Normal
SN000017,2026-05-10 08:39:10,MC_002,LOT_2004,20,2026-05-10 08:50:10,Normal,Medium,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,PASS,,,Normal
SN000018,2026-05-10 08:41:28,MC_001,LOT_2004,20,2026-05-10 08:50:28,Normal,Medium,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,PASS,,,Locked
SN000019,2026-05-10 08:43:46,MC_003,LOT_2003,10,2026-05-10 08:51:46,Low,Slow,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,PASS,,,Normal
SN000020,2026-05-10 08:46:04,MC_001,LOT_2003,10,2026-05-10 08:55:04,Normal,Fast,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,PASS,,,Normal
SN000021,2026-05-10 08:48:23,MC_002,LOT_2002,20,2026-05-10 09:02:23,Normal,Slow,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,PASS,,,Standby
SN000022,2026-05-10 08:50:41,MC_002,LOT_2001,30,2026-05-10 09:04:41,Normal,Medium,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,PASS,,,Locked
SN000023,2026-05-10 08:52:59,MC_005,LOT_2004,10,2026-05-10 09:00:59,Normal,Medium,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,PASS,,,Normal
SN000024,2026-05-10 08:55:17,MC_005,LOT_2004,10,2026-05-10 09:03:17,Low,Medium,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,PASS,,,Locked
SN000025,2026-05-10 08:57:36,MC_003,LOT_2004,20,2026-05-10 09:07:36,Low,Medium,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,PASS,,,Locked
SN000026,2026-05-10 08:59:54,MC_003,LOT_2001,10,2026-05-10 09:08:54,Normal,Fast,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,PASS,,,Locked
SN000027,2026-05-10 09:02:12,MC_002,LOT_2003,20,2026-05-10 09:07:12,Normal,Fast,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,PASS,,,Locked
SN000028,2026-05-10 09:04:30,MC_005,LOT_2002,20,2026-05-10 09:19:30,Normal,Medium,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,FAIL,METROLOGY,SCRATCH_NG,Locked
SN000029,2026-05-10 09:06:48,MC_001,LOT_2003,20,2026-05-10 09:13:48,Low,Medium,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,PASS,,,Normal
SN000030,2026-05-10 09:09:07,MC_005,LOT_2002,10,2026-05-10 09:14:07,Normal,Fast,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,PASS,,,Standby
SN000031,2026-05-10 09:11:25,MC_002,LOT_2003,20,2026-05-10 09:24:25,Normal,Medium,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,PASS,,,Locked
SN000032,2026-05-10 09:13:43,MC_002,LOT_2003,20,2026-05-10 09:23:43,Normal,Slow,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,PASS,,,Locked
SN000033,2026-05-10 09:16:01,MC_005,LOT_2002,10,2026-05-10 09:25:01,Low,Medium,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,PASS,,,Standby
SN000034,2026-05-10 09:18:20,MC_004,LOT_2001,20,2026-05-10 09:33:20,Normal,Medium,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,PASS,,,Standby
SN000035,2026-05-10 09:20:38,MC_001,LOT_2004,10,2026-05-10 09:31:38,High,Slow,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,PASS,,,Normal
SN000036,2026-05-10 09:22:56,MC_002,LOT_2001,30,2026-05-10 09:31:56,Normal,Medium,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,PASS,,,Standby
SN000037,2026-05-10 09:25:14,MC_004,LOT_2004,20,2026-05-10 09:36:14,Normal,Medium,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,PASS,,,Locked
SN000038,2026-05-10 09:27:33,MC_001,LOT_2004,30,2026-05-10 09:39:33,Normal,Medium,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,PASS,,,Standby
SN000039,2026-05-10 09:29:51,MC_002,LOT_2004,20,2026-05-10 09:44:51,Normal,Medium,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,PASS,,,Standby
